Standard,Version Number,Effective Date,Category Number,,Requirement Number,Requirement Description,Requirement Simple Description,Ratings,Rating Description
NIST SP 800-53,3,4/14/2017,5,Configuration Management,3,"The organization: Determines the types of changes to the information system that are configuration controlled; Approves configuration-controlled changes to the system with explicit consideration for security impact analyses; Documents approved configuration-controlled changes to the system; Retains and reviews records of configuration-controlled changes to the system; Audits activities associated with configuration-controlled changes to the system; and Coordinates and provides oversight for configuration change control activities through [ Assignment: organization-defined configuration change control element (e.g., committee, board ] that convenes [ Selection: (one or more): [ Assignment: organization-defined frequency ] ; [ Assignment: organization-defined configuration change conditions ]]. ",Configuration Change Control,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,4,The organization analyzes changes to the information system to determine potential security impacts prior to change implementation. ,Security Impact Analysis,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,5,"The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system. ",Access Restrictions for Change,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,6,"The organization: Establishes and documents mandatory configuration settings for information technology products employed within the information system using [ Assignment: organization-defined security configuration checklists ] that reflect the most restrictive mode consistent with operational requirements; Implements the configuration settings; Identifies, documents, and approves exceptions from the mandatory configuration settings for individual components within the information system based on explicit operational requirements; and Monitors and controls changes to the configuration settings in accordance with organizational policies and procedures. ",Configuration Settings,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,7,"The organization configures the information system to provide only essential capabilities and specifically prohibits or restricts the use of the following functions, ports, protocols, and/or services: [ Assignment: organization-defined list of prohibited or restricted functions, ports, protocols, and/or services ]. ",Least Functionality,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,8,"The organization develops, documents, and maintains an inventory of information system components that: Accurately reflects the current information system; Is consistent with the authorization boundary of the information system; Is at the level of granularity deemed necessary for tracking and reporting; Includes [ Assignment: organization-defined information deemed necessary to achieve effective property accountability ]; and Is available for review and audit by designated organizational officials. ",Information System Component Inventory,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,9,"The organization develops, documents, and implements a configuration management plan for the information system that: Addresses roles, responsibilities, and configuration management processes and procedures; Defines the configuration items for the information system and when in the system development life cycle the configuration items are placed under configuration management; and Establishes the means for identifying configuration items throughout the system development life cycle and a process for managing the configuration of the configuration items. ",Configuration Management Plan,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls. ",Contingency Planning Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,2,"The organization: Develops a contingency plan for the information system that: Identifies essential missions and business functions and associated contingency requirements; Provides recovery objectives, restoration priorities, and metrics; Addresses contingency roles, responsibilities, assigned individuals with contact information; Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure; Addresses eventual, full information system restoration without deterioration of the security measures originally planned and implemented; and Is reviewed and approved by designated officials within the organization; Distributes copies of the contingency plan to [ Assignment: organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements ]; Coordinates contingency planning activities with incident handling activities; Reviews the contingency plan for the information system [ Assignment: organization-defined frequency ]; Revises the contingency plan to address changes to the organization, information system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing; and Communicates contingency plan changes to [ Assignment: organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements ]. ",Contingency Plan,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,3,The organization trains personnel in their contingency roles and responsibilities with respect to the information system and provides refresher training [ Assignment: organization-defined frequency ]. ,Contingency Training,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,4,The organization: Tests and/or exercises the contingency plan for the information system [ Assignment: organization-defined frequency ] using [ Assignment: organization-defined tests and/or exercises ] to determine the plans effectiveness and the organizations readiness to execute the plan; and Reviews the contingency plan test/exercise results and initiates corrective actions. ,Contingency Plan Testing and Exercises,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,5,[ Withdrawn: Incorporated into CP-2 ]. ,Contingency Plan Update,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,6,The organization establishes an alternate storage site including necessary agreements to permit the storage and recovery of information system backup information. ,Alternate Storage Site,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,7,The organization: Establishes an alternate processing site including necessary agreements to permit the resumption of information system operations for essential missions and business functions within [ Assignment: organization-defined time period consistent with recovery time objectives ] when the primary processing capabilities are unavailable; and Ensures that equipment and supplies required to resume operations are available at the alternate site or contracts are in place to support delivery to the site in time to support the organization-defined time period for resumption. ,Alternate Processing Site,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,8,The organization establishes alternate telecommunications services including necessary agreements to permit the resumption of information system operations for essential missions and business functions within [ Assignment: organization-defined time period ] when the primary telecommunications capabilities are unavailable. ,Telecommunications Services,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,9,The organization: Conducts backups of user-level information contained in the information system [ Assignment: organization-defined frequency consistent with recovery time and recovery point objectives ]; Conducts backups of system-level information contained in the information system [ Assignment: organization-defined frequency consistent with recovery time and recovery point objectives ]; Conducts backups of information system documentation including security-related documentation [ Assignment: organization-defined frequency consistent with recovery time and recovery point objectives ]; and Protects the confidentiality and integrity of backup information at the storage location. ,Information System Backup,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,10,"The organization provides for the recovery and reconstitution of the information system to a known state after a disruption, compromise, or failure. ",Information System Recovery and Reconstitution,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented identification and authentication policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the identification and authentication policy and associated identification and authentication controls. ",Identification and Authentication Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,2,The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users). ,Identification and Authentication (Organizational Users),,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,3,The information system uniquely identifies and authenticates [ Assignment: organization-defined list of specific and/or types of devices ] before establishing a connection. ,Device Identification and Authentication,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,4,The organization manages information system identifiers for users and devices by: Receiving authorization from a designated organizational official to assign a user or device identifier; Selecting an identifier that uniquely identifies an individual or device; Assigning the user identifier to the intended party or the device identifier to the intended device; Preventing reuse of user or device identifiers for [ Assignment: organization-defined time period ]; and Disabling the user identifier after [ Assignment: organization-defined time period of inactivity ]. ,Identifier Management,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,5,"The organization manages information system authenticators for users and devices by: Verifying, as part of the initial authenticator distribution, the identity of the individual and/or device receiving the authenticator; Establishing initial authenticator content for authenticators defined by the organization; Ensuring that authenticators have sufficient strength of mechanism for their intended use; Establishing and implementing administrative procedures for initial authenticator distribution, for lost/compromised or damaged authenticators, and for revoking authenticators; Changing default content of authenticators upon information system installation; Establishing minimum and maximum lifetime restrictions and reuse conditions for authenticators (if appropriate); Changing/refreshing authenticators [ Assignment: organization-defined time period by authenticator type ]; Protecting authenticator content from unauthorized disclosure and modification; and Requiring users to take, and having devices implement, specific measures to safeguard authenticators. ",Authenticator Management,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,6,The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals ,Authenticator Feedback,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,7,"The information system uses mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication. ",Cryptographic Module Authentication,,
NIST SP 800-53,3,4/14/2017,7,Identification and Authentication,8,The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users). ,Identification and Authentication (Non-organizational Users),,
NIST SP 800-53,3,4/14/2017,8,Incident Response,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented incident response policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the incident response policy and associated incident response controls. ",Incident Response Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,2,The organization: Trains personnel in their incident response roles and responsibilities with respect to the information system; and Provides refresher training [ Assignment: organization-defined frequency ]. ,Incident Response Training,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,3,The organization tests and/or exercises the incident response capability for the information system [ Assignment: organization-defined frequency ] using [ Assignment: organization-defined tests and/or exercises ] to determine the incident response effectiveness and documents the results. ,Incident Response Testing and Exercises,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,4,"The organization: Implements an incident handling capability for security incidents that includes preparation, detection and analysis, containment, eradication, and recovery; Coordinates incident handling activities with contingency planning activities; and Incorporates lessons learned from ongoing incident handling activities into incident response procedures, training, and testing/exercises, and implements the resulting changes accordingly. ",Incident Handling,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,5,The organization tracks and documents information system security incidents. ,Incident Monitoring,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,6,The organization: Requires personnel to report suspected security incidents to the organizational incident response capability within [ Assignment: organization-defined time-period ]; and Reports security incident information to designated authorities. ,Incident Reporting,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,7,"The organization provides an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the information system for the handling and reporting of security incidents. ",Incident Response Assistance,,
NIST SP 800-53,3,4/14/2017,8,Incident Response,8,"The organization: Develops an incident response plan that: Provides the organization with a roadmap for implementing its incident response capability; Describes the structure and organization of the incident response capability; Provides a high-level approach for how the incident response capability fits into the overall organization; Meets the unique requirements of the organization, which relate to mission, size, structure, and functions; Defines reportable incidents; Provides metrics for measuring the incident response capability within the organization. Defines the resources and management support needed to effectively maintain and mature an incident response capability; and Is reviewed and approved by designated officials within the organization; Distributes copies of the incident response plan to [ Assignment: organization-defined list of incident response personnel (identified by name and/or by role) and organizational elements ]; Reviews the incident response plan [ Assignment: organization-defined frequency ]; Revises the incident response plan to address system/organizational changes or problems encountered during plan implementation, execution, or testing; and Communicates incident response plan changes to [ Assignment: organization-defined list of incident response personnel (identified by name and/or by role) and organizational elements ]. ",Incident Response Plan,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented information system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the information system maintenance policy and associated system maintenance controls. ",System Maintenance Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,2,"The organization: Schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements; Controls all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location; Requires that a designated official explicitly approve the removal of the information system or system components from organizational facilities for off-site maintenance or repairs; Sanitizes equipment to remove all information from associated media prior to removal from organizational facilities for off-site maintenance or repairs; and Checks all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions. ",Controlled Maintenance,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,3,"The organization approves, controls, monitors the use of, and maintains on an ongoing basis, information system maintenance tools. ",Maintenance Tools,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,4,"The organization: Authorizes, monitors, and controls non-local maintenance and diagnostic activities; Allows the use of non-local maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the information system; Employs strong identification and authentication techniques in the establishment of non-local maintenance and diagnostic sessions; Maintains records for non-local maintenance and diagnostic activities; and Terminates all sessions and network connections when non-local maintenance is completed. ",Non-local Maintenance,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,5,The organization: Establishes a process for maintenance personnel authorization and maintains a current list of authorized maintenance organizations or personnel; and Ensures that personnel performing maintenance on the information system have required access authorizations or designates organizational personnel with required access authorizations and technical competence deemed necessary to supervise information system maintenance when maintenance personnel do not possess the required access authorizations. ,Maintenance Personnel,,
NIST SP 800-53,3,4/14/2017,9,Maintenance,6,The organization obtains maintenance support and/or spare parts for [ Assignment: organization-defined list of security-critical information system components and/or key information technology components ] within [ Assignment: organization-defined time period ] of failure. ,Timely Maintenance,,
NIST SP 800-53,3,4/14/2017,10,Media Protection,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the media protection policy and associated media protection controls. ",Media Protection Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,10,Media Protection,2,The organization restricts access to [ Assignment: organization-defined types of digital and non-digital media ] to [ Assignment: organization-defined list of authorized individuals ] using [ Assignment: organization-defined security measures ]. ,Media Access,,
